scene_id,prompt_id,prompt_type,lifecycle_stage,target_model,asset_ref,article3_flag,notes
SC0014,SC0014__still-01__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_01_A
SC0014,SC0014__still-02__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_01_B
SC0014,SC0014__still-03__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_01_C
SC0014,SC0014__still-04__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_02_A
SC0014,SC0014__still-05__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_02_B
SC0014,SC0014__still-06__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_02_C
SC0014,SC0014__still-07__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_03_A
SC0014,SC0014__still-08__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_03_B
SC0014,SC0014__still-09__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_03_C
SC0014,SC0014__still-10__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_04_A
SC0014,SC0014__still-11__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_04_B
SC0014,SC0014__still-12__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_04_C
SC0014,SC0014__still-13__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_05_A
SC0014,SC0014__still-14__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_05_B
SC0014,SC0014__still-15__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_05_C
SC0014,SC0014__still-16__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_06_A
SC0014,SC0014__still-17__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_06_B
SC0014,SC0014__still-18__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_06_C
SC0014,SC0014__still-19__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_07_A
SC0014,SC0014__still-20__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_08_A
SC0014,SC0014__still-21__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_08_B
SC0014,SC0014__still-22__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_08_C
SC0014,SC0014__contact-clip-01__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_01
SC0014,SC0014__contact-clip-02__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_02
SC0014,SC0014__contact-clip-03__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_03
SC0014,SC0014__contact-clip-04__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_04
SC0014,SC0014__contact-clip-05__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_05
SC0014,SC0014__contact-clip-06__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_06
SC0014,SC0014__contact-clip-07__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_07
SC0014,SC0014__contact-clip-08__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_08
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-01-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_01
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-02-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_02
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-03-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_03
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-04-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_04
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-05-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_05
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-06-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_06
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-07-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_07
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-08-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_08
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-01-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_01
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-02-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_02
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-03-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_03
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-04-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_04
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-05-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_05
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-06-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_06
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-07-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_07
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-08-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0014_08
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-01-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_01
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-02-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_02
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-03-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_03
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-04-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_04
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-05-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_05
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-06-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_06
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-07-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_07
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-08-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_08
SC0047,SC0047__omni-kling-omni-clip-clip-sc0047-09-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0047_09
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-01-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_01
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-02-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_02
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-03-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_03
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-04-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_04
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-05-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_05
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-06-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_06
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-07-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_07
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-08-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_08
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-09-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_09
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-10-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_10
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-11-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_11
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-12-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_12
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-13-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_13
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-14-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_14
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-15-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_15
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-16-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_16
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-17-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_17
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-18-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_18
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-19-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_19
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-20-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_20
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-21-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_21
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-22-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_22
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-23-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0089_23
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-01-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_01
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-02-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_02
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-03-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_03
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-04-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_04
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-05-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_05
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-06-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_06
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-07-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_07
SC0111,SC0111__omni-kling-omni-clip-clip-sc0111-08-safe__v07,omni_instruction,draft,kling_omni,pending_generation,,v07 text-only literal kling_literal_alias_locked prompt for CLIP_SC0111_08
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-01-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_01
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-02-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_02
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-03-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_03
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-04-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_04
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-05-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_05
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-06-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_06
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-07-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_07
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-08-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_08
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-09-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_09
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-10-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_10
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-11-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_11
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-12-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_12
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-13-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_13
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-14-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_14
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-15-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_15
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-16-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_16
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-17-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_17
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-18-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_18
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-19-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_19
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-20-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_20
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-21-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_21
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-22-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_22
SC0089,SC0089__omni-kling-omni-clip-clip-sc0089-23-safe__v08,omni_instruction,draft,kling_omni,pending_generation,,v08 native-audio kling_literal_alias_locked prompt for CLIP_SC0089_23
